country,year,"Death rate, crude (per 1,000 people)",GDP (current US$),GDP per capita (current US$),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),"Population, female (% of total population)","Population, total",Rural population,Rural population (% of total population)
Aruba,1991,6.869,872067039.1061449,13233.9905169683,76.147,70.142,73.1,26.8119862345,66.5614715297,6.6265422358,51.0481944006,65896.0,32748.0,49.696
Africa Eastern and Southern,1991,15.8044253392,276493655917.114,862.8482743209,52.6897654753,48.1985984446,50.4160601856,45.1608195838,51.8621084268,2.9770719893,50.4339994122,320442961.0,237952723.0,74.2574344948
Afghanistan,1991,17.946,13265444380.486206,415.57617568227084,49.144,44.353,46.663,47.8412524546,49.9166876313,2.2420599141,50.1053160179,12238879.0,9636159.0,78.734
Africa Western and Central,1991,17.1170625544,129941883767.738,603.8789077768,50.1415047503,47.2132679642,48.6487275119,45.5815070531,51.2583213835,3.1601715633,50.2490592637,215178709.0,147610060.0,68.5988230935
Angola,1991,20.475,10603784541.197,881.9194881301,46.807,41.009,43.813,45.3597336256,52.3533461912,2.2869201832,50.6925046715,12023529.0,7384852.0,61.42
Albania,1991,5.515,1099559027.77778,336.5869945046,76.631,70.321,73.378,32.4170684693,62.0815191605,5.5014123702,49.8735454374,3266790.0,2067878.0,63.3
Arab World,1991,8.7253980617,467952893063.612,2048.8097549046,65.0630083805,61.02855752,62.9713453379,42.5987183492,54.1369287785,3.2643528724,48.9688021746,228402316.0,115005265.0,50.3520571227
United Arab Emirates,1991,2.608,51552165622.4462,25690.9686321448,75.04,70.698,72.241,28.8395119069,70.143955611,1.016532482,31.6813555099,2006626.0,423278.0,21.094
Argentina,1991,7.536,189719984268.48495,5709.247840795,75.635,68.957,72.319,30.2532517467,61.0094466814,8.7373015719,50.766035955,33230294.0,4210943.0,12.672
Armenia,1991,7.664,2069870129.87013,572.740260901,72.122,65.008,68.643,30.4180865592,64.2644604911,5.3174529497,52.1393611911,3613977.0,1187191.0,32.85
Antigua and Barbuda,1991,7.753,504307407.407407,7956.0068690332,75.895,70.881,73.435,29.7135059239,61.3840377364,8.9024563396,51.1469409649,63387.0,40907.0,64.535
Australia,1991,6.9,325975319455.531,18859.9074576986,80.4,74.3,77.2756097561,21.9252422861,66.8372952124,11.2374625015,50.1472265075,17284036.0,2522951.0,14.597
Austria,1991,10.8,173113449616.971,22323.1312492943,79.1,72.3,75.6170731707,17.56769892,67.4634014598,14.9688996202,52.0147889557,7754891.0,2893427.0,37.311
Azerbaijan,1991,6.3,5344000000.0,734.9442328057,66.004,57.919,62.052,34.0109686385,61.8657568153,4.1232745463,51.8768966251,7271300.0,3385445.0,46.559
